timestamp,forecast_mw,renewable_mw,net_demand_mw,battery_mw,battery_action,soc_pct,dr_shed_mw,dr_activated,grid_supply_mw,tariff_period,tariff_rs_mwh,procurement_cost_rs,dr_reward_rs,net_cost_rs,is_anomaly
2024-11-01 01:00:00,2293.2,192.0,2101.2,-100.0,charging,68.4,0.0,0,2201.2,off_peak,2000.0,4402.0,0.0,4402.0,0
2024-11-01 02:00:00,2239.4,192.0,2047.4,-100.0,charging,86.8,0.0,0,2147.4,off_peak,2000.0,4295.0,0.0,4295.0,0
2024-11-01 03:00:00,2205.7,192.0,2013.7,-41.0,charging,94.3,0.0,0,2054.7,off_peak,2000.0,4109.0,0.0,4109.0,0
2024-11-01 04:00:00,2221.1,192.0,2029.1,-3.3,charging,94.9,0.0,0,2032.4,off_peak,2000.0,4065.0,0.0,4065.0,0
2024-11-01 05:00:00,2093.5,192.0,1901.5,-0.3,charging,95.0,0.0,0,1901.8,off_peak,2000.0,3804.0,0.0,3804.0,0
2024-11-01 06:00:00,2398.5,192.0,2206.5,0.0,idle,95.0,0.0,0,2206.5,mid_peak,3500.0,7723.0,0.0,7723.0,0
2024-11-01 07:00:00,2702.2,276.5,2425.7,0.0,idle,95.0,0.0,0,2425.7,mid_peak,3500.0,8490.0,0.0,8490.0,0
2024-11-01 08:00:00,3032.9,291.2,2741.7,0.0,idle,95.0,0.0,0,2741.7,mid_peak,3500.0,9596.0,0.0,9596.0,0
2024-11-01 09:00:00,3202.4,358.8,2843.6,0.0,idle,95.0,0.0,0,2843.6,peak,6000.0,17061.0,0.0,17061.0,0
2024-11-01 10:00:00,3379.6,410.7,2968.9,0.0,idle,95.0,0.0,0,2968.9,peak,6000.0,17813.0,0.0,17813.0,0
2024-11-01 11:00:00,3366.9,443.3,2923.6,0.0,idle,95.0,0.0,0,2923.6,peak,6000.0,17542.0,0.0,17542.0,0
2024-11-01 12:00:00,3109.6,406.4,2703.2,0.0,idle,95.0,0.0,0,2703.2,peak,6000.0,16219.0,0.0,16219.0,0
2024-11-01 13:00:00,3153.3,395.3,2758.0,0.0,idle,95.0,0.0,0,2758.0,peak,6000.0,16548.0,0.0,16548.0,0
2024-11-01 14:00:00,3205.7,362.7,2843.0,0.0,idle,95.0,0.0,0,2843.0,mid_peak,3500.0,9951.0,0.0,9951.0,0
2024-11-01 15:00:00,3196.5,310.8,2885.7,0.0,idle,95.0,0.0,0,2885.7,mid_peak,3500.0,10100.0,0.0,10100.0,0
2024-11-01 16:00:00,3192.2,243.2,2949.0,0.0,idle,95.0,0.0,0,2949.0,mid_peak,3500.0,10321.0,0.0,10321.0,0
2024-11-01 17:00:00,3151.0,212.5,2938.5,0.0,idle,95.0,0.0,0,2938.5,peak,6000.0,17631.0,0.0,17631.0,0
2024-11-01 18:00:00,3539.8,128.0,3411.8,120.0,discharging,71.0,0.0,0,3291.8,peak,6000.0,19751.0,0.0,19751.0,0
2024-11-01 19:00:00,3618.7,128.0,3490.7,120.0,discharging,47.0,0.0,0,3370.7,peak,6000.0,20224.0,0.0,20224.0,0
2024-11-01 20:00:00,3776.1,192.0,3584.1,120.0,discharging,23.0,0.0,0,3464.1,peak,6000.0,20785.0,0.0,20785.0,0
2024-11-01 21:00:00,3779.4,192.0,3587.4,65.0,discharging,10.0,0.0,0,3522.4,peak,6000.0,21134.0,0.0,21134.0,0
2024-11-01 22:00:00,3197.8,192.0,3005.8,-100.0,charging,28.4,0.0,0,3105.8,off_peak,2000.0,6212.0,0.0,6212.0,0
2024-11-01 23:00:00,2699.0,192.0,2507.0,-100.0,charging,46.8,0.0,0,2607.0,off_peak,2000.0,5214.0,0.0,5214.0,0
2024-11-02 00:00:00,2035.7,192.0,1843.7,-100.0,charging,65.2,0.0,0,1943.7,off_peak,2000.0,3887.0,0.0,3887.0,0
2024-11-02 01:00:00,1947.7,192.0,1755.7,-100.0,charging,83.6,0.0,0,1855.7,off_peak,2000.0,3711.0,0.0,3711.0,0
2024-11-02 02:00:00,1933.4,192.0,1741.4,-57.0,charging,94.1,0.0,0,1798.4,off_peak,2000.0,3597.0,0.0,3597.0,0
2024-11-02 03:00:00,2015.9,192.0,1823.9,-4.6,charging,94.9,0.0,0,1828.5,off_peak,2000.0,3657.0,0.0,3657.0,0
2024-11-02 04:00:00,1808.5,192.0,1616.5,-0.4,charging,95.0,0.0,0,1616.9,off_peak,2000.0,3234.0,0.0,3234.0,0
2024-11-02 05:00:00,1875.7,192.0,1683.7,-0.0,charging,95.0,0.0,0,1683.7,off_peak,2000.0,3367.0,0.0,3367.0,0
2024-11-02 06:00:00,2085.4,192.0,1893.4,0.0,idle,95.0,0.0,0,1893.4,mid_peak,3500.0,6627.0,0.0,6627.0,0
2024-11-02 07:00:00,2295.9,276.5,2019.4,0.0,idle,95.0,0.0,0,2019.4,mid_peak,3500.0,7068.0,0.0,7068.0,0
2024-11-02 08:00:00,2490.5,291.2,2199.3,0.0,idle,95.0,0.0,0,2199.3,mid_peak,3500.0,7697.0,0.0,7697.0,0
2024-11-02 09:00:00,2642.3,358.8,2283.5,0.0,idle,95.0,0.0,0,2283.5,peak,6000.0,13701.0,0.0,13701.0,0
2024-11-02 10:00:00,2754.0,410.7,2343.3,0.0,idle,95.0,0.0,0,2343.3,peak,6000.0,14060.0,0.0,14060.0,0
2024-11-02 11:00:00,2770.1,443.3,2326.9,0.0,idle,95.0,0.0,0,2326.9,peak,6000.0,13961.0,0.0,13961.0,0
2024-11-02 12:00:00,2602.8,406.4,2196.4,0.0,idle,95.0,0.0,0,2196.4,peak,6000.0,13179.0,0.0,13179.0,0
2024-11-02 13:00:00,2408.9,395.3,2013.6,0.0,idle,95.0,0.0,0,2013.6,peak,6000.0,12081.0,0.0,12081.0,0
2024-11-02 14:00:00,2662.5,362.7,2299.8,0.0,idle,95.0,0.0,0,2299.8,mid_peak,3500.0,8049.0,0.0,8049.0,0
2024-11-02 15:00:00,2714.2,310.8,2403.4,0.0,idle,95.0,0.0,0,2403.4,mid_peak,3500.0,8412.0,0.0,8412.0,0
2024-11-02 16:00:00,2678.6,243.2,2435.4,0.0,idle,95.0,0.0,0,2435.4,mid_peak,3500.0,8524.0,0.0,8524.0,0
2024-11-02 17:00:00,2782.2,212.5,2569.7,0.0,idle,95.0,0.0,0,2569.7,peak,6000.0,15418.0,0.0,15418.0,0
2024-11-02 18:00:00,3060.4,128.0,2932.4,0.0,idle,95.0,0.0,0,2932.4,peak,6000.0,17595.0,0.0,17595.0,0
2024-11-02 19:00:00,3144.8,128.0,3016.8,0.0,idle,95.0,0.0,0,3016.8,peak,6000.0,18101.0,0.0,18101.0,0
2024-11-02 20:00:00,3151.6,192.0,2959.6,0.0,idle,95.0,0.0,0,2959.6,peak,6000.0,17758.0,0.0,17758.0,0
2024-11-02 21:00:00,3185.7,192.0,2993.7,0.0,idle,95.0,0.0,0,2993.7,peak,6000.0,17962.0,0.0,17962.0,0
2024-11-02 22:00:00,2736.2,192.0,2544.2,-0.0,charging,95.0,0.0,0,2544.2,off_peak,2000.0,5088.0,0.0,5088.0,0
2024-11-02 23:00:00,2319.7,192.0,2127.7,-0.0,charging,95.0,0.0,0,2127.7,off_peak,2000.0,4255.0,0.0,4255.0,0
2024-11-03 00:00:00,1981.4,192.0,1789.4,-0.0,charging,95.0,0.0,0,1789.4,off_peak,2000.0,3579.0,0.0,3579.0,0
2024-11-03 01:00:00,2009.7,192.0,1817.7,-0.0,charging,95.0,0.0,0,1817.7,off_peak,2000.0,3635.0,0.0,3635.0,0
2024-11-03 02:00:00,1949.0,192.0,1757.0,-0.0,charging,95.0,0.0,0,1757.0,off_peak,2000.0,3514.0,0.0,3514.0,0
2024-11-03 03:00:00,1920.3,192.0,1728.3,-0.0,charging,95.0,0.0,0,1728.3,off_peak,2000.0,3457.0,0.0,3457.0,0
2024-11-03 04:00:00,1909.7,192.0,1717.7,-0.0,charging,95.0,0.0,0,1717.7,off_peak,2000.0,3435.0,0.0,3435.0,0
2024-11-03 05:00:00,1897.9,192.0,1705.9,-0.0,charging,95.0,0.0,0,1705.9,off_peak,2000.0,3412.0,0.0,3412.0,0
2024-11-03 06:00:00,2071.8,192.0,1879.8,0.0,idle,95.0,0.0,0,1879.8,mid_peak,3500.0,6579.0,0.0,6579.0,0
2024-11-03 07:00:00,2252.5,276.5,1976.1,0.0,idle,95.0,0.0,0,1976.1,mid_peak,3500.0,6916.0,0.0,6916.0,0
2024-11-03 08:00:00,2470.0,291.2,2178.8,0.0,idle,95.0,0.0,0,2178.8,mid_peak,3500.0,7626.0,0.0,7626.0,0
2024-11-03 09:00:00,2772.4,358.8,2413.6,0.0,idle,95.0,0.0,0,2413.6,peak,6000.0,14482.0,0.0,14482.0,0
2024-11-03 10:00:00,2722.8,410.7,2312.2,0.0,idle,95.0,0.0,0,2312.2,peak,6000.0,13873.0,0.0,13873.0,0
2024-11-03 11:00:00,2829.5,443.3,2386.3,0.0,idle,95.0,0.0,0,2386.3,peak,6000.0,14318.0,0.0,14318.0,0
2024-11-03 12:00:00,2544.4,406.4,2138.0,0.0,idle,95.0,0.0,0,2138.0,peak,6000.0,12828.0,0.0,12828.0,0
2024-11-03 13:00:00,2575.1,395.3,2179.8,0.0,idle,95.0,0.0,0,2179.8,peak,6000.0,13079.0,0.0,13079.0,0
2024-11-03 14:00:00,2573.4,362.7,2210.8,0.0,idle,95.0,0.0,0,2210.8,mid_peak,3500.0,7738.0,0.0,7738.0,0
2024-11-03 15:00:00,2732.6,310.8,2421.8,0.0,idle,95.0,0.0,0,2421.8,mid_peak,3500.0,8476.0,0.0,8476.0,0
2024-11-03 16:00:00,2735.5,243.2,2492.3,0.0,idle,95.0,0.0,0,2492.3,mid_peak,3500.0,8723.0,0.0,8723.0,0
2024-11-03 17:00:00,2748.0,212.5,2535.5,0.0,idle,95.0,0.0,0,2535.5,peak,6000.0,15213.0,0.0,15213.0,0
2024-11-03 18:00:00,3009.0,128.0,2881.0,0.0,idle,95.0,0.0,0,2881.0,peak,6000.0,17286.0,0.0,17286.0,0
